Thank,except
Liked,worst
Thoughtful,terrible
Consideration,disgusting
Hardworking,horrible 
Helpful,charge
Wonderful,suck
Excellent,sucks
Enjoy,lack
Delicious,problems
Perfect,dirty
Good,nightmare
home,bad
well,refunded
Special,slow
Relax,missing
Great,refund
Exactly,management
Quality,super
Generous,loud
Perfect,noisy
server,undercooked
Fresh,manager
Properly,forever
Highly,ignorant
love,problem
accommodating,rude
friendliness,joke
genuine,attitude
best,super
nice,mad
notch,forgot
impeccable,gross
satisfied,dry
exceptional,tasteless
outstanding,bug
amazing,disappointment
incredible,inspection
loves,stale
welcome,bother
attentive,no flavor
ok,garbage
hot,cold
fast,change
memorable,robbed
happy,nasty
delightful,mess
reasoning,awful
gracious,complaining
beautiful,reservation
quiet,weird
awesome,over cook
cozy,chewy
terrific,lack
fabulous,limited
clean,overpriced
okay,underwhelm
comfort,wrong
popular,skimpy
favorite,cooked
tender,raw
flavorful,tough
warm,ridiculous
affordable,disrespected
unbeatable,bland
interesting,hate
unique,frustrating 
cute,unreasonable
decent,microwave
legit,small
worth,alright
thanks,not worth
impressed,hygiene
family,smelled
better,disappointing
returning,over
real,left
appropriate,nobody
suggestion,service
never,shitty
really,long
tasty,wait
fun,meh
fantastic,crappy
divine,cheap
convenient,bitter
enjoys,old
enjoyed,bullshit
yum,poor
especially,struggling
discovered,deliver
authentic ,stupid
knowledgeable,idiot
depressing,empty
fan,ordinary
most,not
spectacular,subpar
filling,downhill
healthy,ruined
patio,avoid
loved,hard
